node,CLUSTER,s_eq,eigenvector_centrality,conexiones_anomalas,indice_frontera,d_anom,p_anom,degree_total
Verónica Contreras,0,0.3333333333333333,0.0,2.3333333333333335,0.4013242681086454,0,0.0,7
Swett,0,1.0,0.0,0.0,0.0,0,0.0,3
Patricio Vallespin,1,1.0,0.0004914361381249091,0.0,0.0,0,0.0,2
Rodrigo Díaz,1,0.8181818181818182,0.017167634625350328,1.545454545454545,0.0849372033978939,0,0.0,17
Gabriel Boric,1,0.6557083084279737,0.6818679169708592,383.1966527196653,1.0244665313401033,50,0.1736111111111111,2226
Guillermo Lasso Mendoza,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Patricio Carrillo Rosero,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Colectivo de Militantes de la Revolución Ciudadana,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Amarillos por Chile,-1,-0.038461538461538464,-0.001249881306034238,30.28846153846154,1.655408359921928,8,0.32,63
officialism,1,-0.07692307692307693,0.0009649214286406107,7.384615384615385,0.9814147037388956,2,0.2857142857142857,16
opposition,-1,0.4,-0.00028434097167036695,3.9,0.47677056153497427,1,0.14285714285714285,13
director of the Escuela de Administración Pública de la Universidad Austral,-1,-0.3333333333333333,-1.9482114965497328e-05,1.0,0.23104906018664842,0,0.0,3
Juanett Chabouty Muñoz,0,0.0,0.0,3.5,0.7520386983881371,0,0.0,7
Hernán Calderón Salinas,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Alejandra Arratia Martinez,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Christian Sánchez,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Álex Álvarez Muñoz,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Luis Jara Galaz,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Jenit Barrera,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
María José,0,0.42857142857142855,0.0,3.714285714285714,0.4430278321174762,0,0.0,13
Noam,0,0.0,0.0,4.5,0.8523740461192126,0,0.0,9
Arturo,0,0.25,0.0,5.625,0.7090688894521072,0,0.0,15
Macaya,-1,0.07692307692307693,0.01779871642604808,8.307692307692308,1.029619009908556,3,0.42857142857142855,18
Cristián de la Fuente,0,0.16129032258064516,0.0,36.064516129032256,1.5149864823782877,0,0.0,86
Loreto Cox,1,1.0,-0.019518969452706366,0.0,0.0,0,0.0,7
Antonia Urrejola,1,0.6111111111111112,0.0094623318349168,16.72222222222222,0.5589926503950211,3,0.21428571428571427,86
Izkia Siches,1,0.4067796610169492,0.03986940888124682,86.61016949152543,1.326706761399671,12,0.17142857142857143,292
Sanzana,1,1.0,1.1931389683474377e-18,0.0,0.0,0,0.0,1
