node,CLUSTER,s_eq,eigenvector_centrality,conexiones_anomalas,indice_frontera,d_anom,p_anom,degree_total
Faloon,0,0.0,0.0,4.0,0.8047189562170501,0,0.0,8
Andrés Caniulef,0,0.0,0.0,3.5,0.7520386983881371,0,0.0,7
Vico Bouvier,0,0.0,0.0,3.5,0.7520386983881371,0,0.0,7
Yuli Cagna,0,0.0,0.0,2.5,0.626381484247684,0,0.0,5
Karla Constant,0,0.0,0.0,8.0,1.0986122886681098,0,0.0,16
Sergio Lagos,0,0.0,0.0,7.0,1.0397207708399179,0,0.0,14
Faloon Larraguibel,0,0.0,0.0,7.5,1.0700330817481354,0,0.0,15
Zoe Bayona,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Daniela Requena,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Manuel Pellegrini,0,-1.0,0.0,0.0,0.0,0,0.0,14
Gabriel Boric,-1,-0.511326860841424,0.641977951494375,202.31067961165047,1.2985841793406536,35,0.23178807947019867,828
Contraloría General de la República,0,-0.4375,0.0,27.28125,0.9399934802531811,0,0.0,97
Ministerio de Hacienda,1,0.23809523809523808,0.005271607498536571,14.476190476190474,1.0435439027071673,0,0.0,38
Ley N°21.746,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Gustavo Quinteros,1,0.7777777777777778,-0.001142854073016634,1.6666666666666665,0.10898102811241402,0,0.0,15
Román,1,1.0,6.54259927261368e-19,0.0,0.0,0,0.0,2
Gerardo Martino,1,1.0,-7.233349056490748e-20,0.0,0.0,0,0.0,4
Marco Enríquez-Ominami,0,-0.25,0.0,24.75,1.2181629851661544,0,0.0,66
Donald Trump,1,0.6576576576576577,-0.0982816057711934,103.38738738738738,0.7956222369009894,3,0.039473684210526314,604
Claudia Sheinbaum Pardo,1,0.2,-0.0052727346491142245,8.0,0.8788898309344879,0,0.0,20
BBVA Research,1,1.0,0.004286959138969667,0.0,0.0,0,0.0,2
Fenats Unitaria,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Tribunal Electoral Regional de Antofagasta,0,1.0,0.0,0.0,0.0,0,0.0,3
Seis concejales de Antofagasta,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Jaime Naranjo,-1,-0.5,0.0032472121686674673,6.25,0.49525036721664584,0,0.0,25
José Miguel Castro,-1,-0.15384615384615385,-0.04304209530485788,30.038461538461537,1.4533653243358897,7,0.3181818181818182,71
Eric Aedo,-1,-0.45454545454545453,-0.012253676167647175,12.545454545454545,0.7107411908582968,3,0.3333333333333333,46
Jorge Almirón,1,1.0,8.51883704119833e-19,0.0,0.0,0,0.0,57
Aníbal Mosa,0,0.6,0.0,10.4,0.48672267108009,0,0.0,52
Carlos Tevez,0,1.0,0.0,0.0,0.0,0,0.0,2
Mauricio Isla,0,1.0,0.0,0.0,0.0,0,0.0,2
Ángel Valencia,1,0.1724137931034483,0.010359108881039804,18.20689655172414,1.2228701006651628,3,0.25,44
Juan Castro Bekios,1,0.38461538461538464,-0.004239271749658533,4.307692307692308,0.5135868145032995,0,0.0,14
Juan Antonio Coloma,1,-0.06666666666666667,-0.06774118894358452,26.133333333333333,1.5403560593588463,1,0.041666666666666664,56
Henry Leal,1,-0.08,-0.07118746836497374,27.6,1.5425670901998711,2,0.07407407407407407,60
Tomás de Rementería,0,-0.4444444444444444,0.0,7.777777777777779,0.6033953542030007,0,0.0,28
Daniel Meron,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Mike Ryan,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Ibrahim Khraishi,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Bekios,1,0.0,0.02800252625687658,1.0,0.34657359027997264,1,1.0,2
Alberto Larraín,-1,-0.047619047619047616,0.01955996255332935,41.42857142857142,1.7846771379749455,0,0.0,87
Chris Weston,1,1.0,-1.1195452096280938e-19,0.0,0.0,0,0.0,2
Cristián Tapia,-1,0.1111111111111111,0.028526042577664,7.111111111111111,0.930326606138743,0,0.0,16
Leonor Armanet,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
